Actual,Linear Regression,Decision Tree,Random Forest,SVM,Gradient Boosting
3.0,6.68605706967638,12.0,8.59,1.6790730428811216,7.640740377783126
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
21.0,16.818222529040852,22.0,19.91,5.591794841859375,14.947900625524488
4.0,4.1725150552832035,0.0,1.625642857142857,0.7306299731553842,2.6576610929983997
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
1.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
2.0,3.213338425476065,6.0,5.196714285714286,0.9087608488984245,2.6576610929983997
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
7.0,2.410156599252457,0.8333333333333334,0.8525570818070816,0.4624808901156712,1.7918925359693254
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
0.0,0.5178024735687687,0.0,1.3609047619047618,0.7241826154295374,0.5832850500531623
0.0,0.6477981432217113,0.2857142857142857,0.2902571435756273,0.20052971580310697,0.5505968831890825
1.0,3.265336693337242,1.0,1.518357142857143,0.6987213029157893,2.6576610929983997
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
28.0,24.800833849040387,29.0,21.77,6.831629481378144,21.014040230389252
377.0,311.67615237640206,322.0,327.47,40.90069086457845,334.2406745679051
1.0,1.554976505167673,0.625,0.6054620954852151,0.22985946349767516,0.5970608372308617
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
1.0,2.436155733183046,1.4444444444444444,1.4896516792031493,0.3612823148422386,1.5518792539645032
14.0,7.515238029830576,2.0,10.466666666666665,2.0454384723346806,7.640740377783126
6.0,3.990521117769084,9.0,4.82,1.482280641232549,2.6576610929983997
1.0,1.5289773712370844,0.9230769230769231,0.9175815407502713,0.33072429038748297,0.8370741192356836
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
0.0,0.6737972771522998,0.0625,0.05956304142485468,0.10000056408251368,0.22327566286307937
